Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name,price
80728,Fitness & Outdoors Sale,Amazon India,Health & Beauty,,,,https://linksredirect.com/?pub_id=41826&url=https://www.amazon.in/s?k=Fitness+%26+Outdoors&ref=nb_sb_noss,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/817/original/Amazon.in__Online_Shopping_for_Books__Kindle_E_Readers__Kindle_accessories__E_Books_and_Movies___TV.png?1371175177,817,Amazon India,
80729,Get Upto 40% OFF on Kurtas,Myntra,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.myntra.com/women?f=Categories%3AKurta%20Sets%2CKurtas&rf=Discount%20Range%3A10.0_100.0_10.0%20TO%20100.0,live,2020-07-17,2020-07-24,17/07/2020,https://cdn0.cuelinks.com/campaigns/101/original/Myntra.png?1491896562,101,Myntra,
80730,Get upto 55% OFF on Footwear For Women,Myntra,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.myntra.com/footwear?f=Categories%3AFlats%2CHeels%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A10.0_100.0_10.0%20TO%20100.0,live,2020-07-17,2020-07-24,17/07/2020,https://cdn0.cuelinks.com/campaigns/101/original/Myntra.png?1491896562,101,Myntra,
80731,Get upto 50% OFF on Men T-Shirts,Myntra,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.myntra.com/tshirts?f=Gender%3Amen%2Cmen%20women&rf=Discount%20Range%3A10.0_100.0_10.0%20TO%20100.0,live,2020-07-17,2020-07-24,17/07/2020,https://cdn0.cuelinks.com/campaigns/101/original/Myntra.png?1491896562,101,Myntra,
80732,Get 10% off on your first order,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80733,Get Flat 50% OFF Sale,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/sale-of-50-and-above,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80734,Get upto 40% OFF on Sarees,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/saree-sale,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80735,Get upto 50% OFF on Gowns,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/gowns-sale,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80736,Get upto 50% OFF on Lehenga,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/m/lehenga-sale,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion,
80737,Upto 75% OFF Seasons Special Discounts,Flipkart,Home & Kitchen,,,,https://linksredirect.com/?pub_id=41826&url=https://www.flipkart.com/monsoon-appliance-dhamaka-sale-store,live,2020-07-17,2020-07-19,17/07/2020,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772,1,Flipkart,
